,TUFE_YEARLY,TUFE_MONTHLY
11-2023,61.98,3.28
10-2023,61.36,3.43
09-2023,61.53,4.75
08-2023,58.94,9.09
07-2023,47.83,9.49
06-2023,38.21,3.92
05-2023,39.59,0.04
04-2023,43.68,2.39
03-2023,50.51,2.29
02-2023,55.18,3.15
01-2023,57.68,6.65
12-2022,64.27,1.18
11-2022,84.39,2.88
10-2022,85.51,3.54
09-2022,83.45,3.08
08-2022,80.21,1.46
07-2022,79.6,2.37
06-2022,78.62,4.95
05-2022,73.5,2.98
04-2022,69.97,7.25
03-2022,61.14,5.46
02-2022,54.44,4.81
01-2022,48.69,11.1
12-2021,36.08,13.58
11-2021,21.31,3.51
10-2021,19.89,2.39
09-2021,19.58,1.25
08-2021,19.25,1.12
07-2021,18.95,1.8
06-2021,17.53,1.94
05-2021,16.59,0.89
04-2021,17.14,1.68
03-2021,16.19,1.08
02-2021,15.61,0.91
01-2021,14.97,1.68
12-2020,14.6,1.25
11-2020,14.03,2.3
10-2020,11.89,2.13
09-2020,11.75,0.97
08-2020,11.77,0.86
07-2020,11.76,0.58
06-2020,12.62,1.13
05-2020,11.39,1.36
04-2020,10.94,0.85
03-2020,11.86,0.57
02-2020,12.37,0.35
01-2020,12.15,1.35
12-2019,11.84,0.74
11-2019,10.56,0.38
10-2019,8.55,2
09-2019,9.26,0.99
08-2019,15.01,0.86
07-2019,16.65,1.36
06-2019,15.72,0.03
05-2019,18.71,0.95
04-2019,19.5,1.69
03-2019,19.71,1.03
02-2019,19.67,0.16
01-2019,20.35,1.06
12-2018,20.3,-0.4
11-2018,21.62,-1.44
10-2018,25.24,2.67
09-2018,24.52,6.3
08-2018,17.9,2.3
07-2018,15.85,0.55
06-2018,15.39,2.61
05-2018,12.15,1.62
04-2018,10.85,1.87
03-2018,10.23,0.99
02-2018,10.26,0.73
01-2018,10.35,1.02
